"150983","Bo Burnham","3","3","125","111","7.3","7, 7, 8","The Big Sick, Promising Young Woman, Bo Burnham Inside"
"150984","Jared Harris","3","3","126","112","7.3","7, 7, 8","Sherlock Holmes: A Game Of Shadows, The Man From U.N.C.L.E., The Curious Case Of Benjamin Button"
"150985","Rob Morgan","3","3","127","113","7.3","7, 7, 8","Mudbound, The Unforgivable, Don’T Look Up"
"150986","Kevin Spacey","3","3","128","114","7.3","8, 7, 7","L.A. Confidential, Baby Driver, A Time To Kill"
"150987","Andy Garcia","3","3","129","115","7.3","7, 7, 8","The Untouchables, Book Club, The Godfather Part 3"
"150988","Scoot McNairy","3","3","130","116","7.3","8, 7, 7","Argo, Killing Them Softly, Non-Stop"
"150989","Kyle Chandler","3","3","131","117","7.3","8, 7, 7","Argo, Manchester By The Sea, Godzilla Vs Kong"
"150990","Yahya Abdul-Mateen II","3","3","132","118","7.3","9, 7, 6","Us, The Trial Of Chicago 7, The Matrix Resurrections "
"150991","Sam Shepard","3","3","133","119","7.3","8, 7, 7","The Assassination Of Jesse James By The Coward Robert Ford, Killing Them Softly, Fair Game"
"150992","Albert Brooks","3","2","134","332","7.3","7, 8, 7","Taxi Driver, Drive, A Most Violent Year"
"150993","Peter Sarsgaard","3","2","135","333","7.3","6, 8, 8","The Guilty, The Lost Daughter, The Batman"
"150994","Ron Perlman","3","2","136","334","7.3","8, 8, 6","Drive, Don’T Look Up, Nightmare Alley"
"150995","Neve Campbell","3","3","137","120","7.3","7, 8, 7","Scream (2022), Scream (1996), Scream 2"
"150996","Courteney Cox","3","3","138","121","7.3","7, 8, 7","Scream (2022), Scream (1996), Scream 2"
"150997","David Arquette","3","3","139","122","7.3","7, 8, 7","Scream (2022), Scream (1996), Scream 2"
"150998","Ben Mendelsohn","3","3","140","125","7.0","7, 7, 7","Darkest Hour, Ready Player One, Killing Them Softly"
"150999","Christopher Plummer","3","3","141","126","7.0","8, 7, 6","Knives Out, Inside Man, All The Money In The World"
"151000","Matthew McConaughey","3","3","142","128","7.0","8, 6, 7","The Gentlemen, The Dark Tower, A Time To Kill"
"151001","Denzel Washington","3","3","143","129","7.0","7, 8, 6","Inside Man, Man On Fire, The Little Things"
"151002","Jodie Foster","3","3","144","130","7.0","7, 7, 7","Inside Man, The Mauritanian, Taxi Driver"
"151003","John Ortiz","3","3","145","131","7.0","7, 7, 7","Ad Astra, A Dog’S Purpose, Steve Jobs"
"151004","Robert Downey Jr.","3","3","146","132","7.0","8, 7, 6","Sherlock Holmes, Sherlock Holmes: A Game Of Shadows, Kiss Kiss Bang Bang"
"151005","Gwyneth Paltrow","3","2","147","353","7.0","7, 6, 8","Capote, Contagion, The Talented Mr. Ripley"
"151006","Logan Miller","3","3","148","133","7.0","7, 7, 7","A Dog’S Purpose, Escape Room, Escape Room: Tournament Of Champions"
"151007","Lois Smith","3","3","149","134","7.0","7, 6, 8","Nice Guys, Run All Night, Uncle Frank"
"151008","Isiah Whitlock Jr.","3","3","150","135","7.0","6, 7, 8","Blackkklansman, 25Th Hour, I Care A Lot"
"151009","Jessica Chastain","3","2","151","356","7.0","9, 5, 7","Molly’S Game, It Chapter 2, A Most Violent Year"
"151010","Viola Davis","3","3","152","136","7.0","7, 7, 7","State Of Play, Prisoners, The Unforgivable"
"151011","Mark Wahlberg","3","3","153","137","7.0","6, 6, 9","The Other Guys, All The Money In The World, The Departed"
"151012","Thomasin McKenzie","3","3","154","138","7.0","7, 6, 8","Jojo Rabbit, The Power Of The Dog, Last Night In Soho"
"151013","Taika Waititi","3","3","155","139","7.0","7, 8, 6","Jojo Rabbit, Hunt For The Wilderpeople, Free Guy"
"151014","Dylan Minnette","3","3","156","140","7.0","7, 7, 7","Don’T Breathe, Prisoners, Scream (2022)"
